evidence_id,claim_dependencies,indispensable,category,required_semantics,admissible_source_classes,point_in_time_rule,effective_period_rule,revision_vintage_rule,upstream_independence_rule,identity_unit_rule,permitted_use_rule,fail_closed_behavior,first_mu_bundle_status
MKT_PRICE_ANCHOR,"C4",true,decision_time_market_anchor,"Exact decision timestamp; official primary-market close convention; after-hours handling; security identity; USD per diluted share","OFFICIAL_EXCHANGE_OR_CANONICAL_MARKET_DATA","price_known_at <= decision_timestamp and price timestamp follows registered close convention","exact market session and timestamp","immutable captured value; corrections create new bundle","one canonical price source; alternatives are challenge evidence not votes","issuer; security; primary listing; currency; price units","control and constrained valuation only","BLOCK: INVALID_POINT_IN_TIME or MISSING_INDISPENSABLE_EVIDENCE",REQUIRED_IN_BUNDLE
CAPITAL_STRUCTURE_ANCHOR,"C3|C4",true,decision_time_capital_structure,"Diluted share basis; cash; debt; other financing claims; reporting period; publication and known-at dates","OFFICIAL_COMPANY_FILING|AUDITED_POINT_IN_TIME_DATA","known_at <= decision_timestamp","latest admissible reported period under maximum lag","original vintage retained; restatement status explicit","one upstream filing counts once","issuer; period; USD; diluted shares","shareholder-capture and valuation bridge","BLOCK: MISSING_INDISPENSABLE_EVIDENCE",REQUIRED_IN_BUNDLE
PHYSICAL_CAPACITY_UTILIZATION,"C1",true,physical_supply,"Installed or available capacity and utilization by registered product segment and horizon","DIRECT_COMPANY_DISCLOSURE|OFFICIAL_INDUSTRY_SOURCE|AUDITABLE_PRIMARY_SOURCE","known_at <= decision_timestamp","period and horizon explicit","revision and methodology changes explicit","syndicated reports sharing upstream source count once","segment; facility or industry scope; wafer-equivalent unit; period","effective-supply equation only","BLOCK when selected mechanism cannot be bounded",REQUIRED_IN_BUNDLE
NODE_BITS_YIELD,"C1",true,physical_productivity,"Node transition; die size or bits per wafer; yield; qualification state by registered segment","DIRECT_COMPANY_DISCLOSURE|AUDITABLE_PRIMARY_TECHNICAL_SOURCE|REGISTERED_CONSERVATIVE_POLICY_RANGE","known_at <= decision_timestamp","effective interval or ramp horizon explicit","estimated or inferred terms cannot be relabeled observed","shared management statement counts once","segment; node; bits or wafer-equivalent unit; period","qualified-production bounds","BLOCK when required registered term lacks authority",REQUIRED_IN_BUNDLE
QUALIFICATION_ALLOCATION_CYCLE,"C1",true,physical_availability,"Qualification; customer acceptance; product allocation; HBM versus conventional allocation where material; cycle and commissioning lag","DIRECT_COMPANY_DISCLOSURE|AUDITABLE_PRIMARY_SOURCE|REGISTERED_CONSERVATIVE_POLICY_RANGE","known_at <= decision_timestamp","ramp and effective horizon explicit","later qualification outcome cannot leak into prior run","dependent analyst summaries count as one upstream observation","segment; product; horizon; allocation share; time unit","sellable qualified-supply bounds","BLOCK when the frozen mechanism cannot distinguish theoretical from sellable supply",REQUIRED_IN_BUNDLE
INVENTORY_STOCK_FLOW,"C1|C2",true,inventory_and_market_availability,"Producer and material channel beginning stock; additions; shipments or releases; write-downs; transfers; ending stock; ownership and location","OFFICIAL_COMPANY_FILING|DIRECT_COMPANY_DISCLOSURE|AUDITABLE_PRIMARY_CHANNEL_SOURCE|REGISTERED_CONSERVATIVE_POLICY_RANGE","known_at <= decision_timestamp","stock date and covered flow period explicit","revisions and write-down reclassifications explicit","channel reports with common upstream source count once","owner; location; segment; physical or monetary units; period","registered stock-flow equations only","BLOCK when inventory treatment is material and cannot reconcile",REQUIRED_IN_BUNDLE
SUPPLY_DEMAND_DISCRIMINATOR,"C1",true,identification,"At least one direct physical observation; supply-specific timing restriction; cross-segment or cross-producer implication; or registered supply-specific falsifier","DIRECT_PHYSICAL_SOURCE|AUDITABLE_PRIMARY_SOURCE|REGISTERED_MECHANISM_TEST","known_at <= decision_timestamp","mechanism-specific timing explicit","later demand or supply outcomes cannot be used retrospectively","must be independent of MU share-price movement","mechanism; segment; horizon; units","supply-demand identification gate","VALID with model_state NON_IDENTIFIABLE when evidence is admissible but explanations remain equivalent; BLOCK when the required discriminator artifact is absent",REQUIRED_IN_BUNDLE
MU_VOLUME_MIX_PRICE_COST,"C2",true,business_capture,"MU volume or bit shipments; product mix; realized pricing; cost basis; segment mapping; period","OFFICIAL_COMPANY_FILING|DIRECT_COMPANY_DISCLOSURE|AUDITABLE_POINT_IN_TIME_DATA","known_at <= decision_timestamp","reported period and modeled horizon explicit","restatement and reclassification policy explicit","one filing or management source counts once","issuer; segment; units; USD; period","business-capture bridge","BLOCK when business capture cannot be parameterized",REQUIRED_IN_BUNDLE
MU_CAPEX_DEPRECIATION_WORKING_CAPITAL_TAX,"C2|C3",true,cash_flow_bridge,"Capex; depreciation; working capital; cash taxes; operating items; period and accounting identity","OFFICIAL_COMPANY_FILING|AUDITED_POINT_IN_TIME_DATA","known_at <= decision_timestamp","reported period and forward-horizon mapping explicit","restatement and accounting-policy changes explicit","one upstream filing counts once","issuer; period; USD","business and shareholder cash-flow bridge","BLOCK when accounting bridge cannot reconcile",REQUIRED_IN_BUNDLE
SHAREHOLDER_LEAKAGE_AND_RETENTION,"C3",true,shareholder_capture,"Dilution; stock-based compensation; issuance; repurchases; dividends; financing claims; net debt and cash","OFFICIAL_COMPANY_FILING|AUDITED_POINT_IN_TIME_DATA","known_at <= decision_timestamp","reported period and modeled horizon explicit","restatement and transaction timing explicit","one upstream filing counts once","issuer; period; USD; share count","shareholder-capture bridge","BLOCK when shareholder capture cannot be bounded",REQUIRED_IN_BUNDLE
